year,month,month_num,quarter,time_id
2008,December,12,4,1
2009,April,4,2,2
2009,August,8,3,3
2009,December,12,4,4
2009,February,2,1,5
2009,January,1,1,6
2009,July,7,3,7
2009,June,6,2,8
2009,March,3,1,9
2009,May,5,2,10
2009,November,11,4,11
2009,October,10,4,12
2009,September,9,3,13
2010,April,4,2,14
2010,August,8,3,15
2010,December,12,4,16
2010,February,2,1,17
2010,January,1,1,18
2010,July,7,3,19
2010,June,6,2,20
2010,March,3,1,21
2010,May,5,2,22
2010,November,11,4,23
2010,October,10,4,24
2010,September,9,3,25
2011,April,4,2,26
2011,August,8,3,27
2011,December,12,4,28
2011,February,2,1,29
2011,January,1,1,30
2011,July,7,3,31
2011,June,6,2,32
2011,March,3,1,33
2011,May,5,2,34
2011,November,11,4,35
2011,October,10,4,36
2011,September,9,3,37
2012,April,4,2,38
2012,August,8,3,39
2012,December,12,4,40
2012,February,2,1,41
2012,January,1,1,42
2012,July,7,3,43
2012,June,6,2,44
2012,March,3,1,45
2012,May,5,2,46
2012,November,11,4,47
2012,October,10,4,48
2012,September,9,3,49
2013,April,4,2,50
2013,August,8,3,51
2013,December,12,4,52
2013,February,2,1,53
2013,January,1,1,54
2013,July,7,3,55
2013,June,6,2,56
2013,March,3,1,57
2013,May,5,2,58
2013,November,11,4,59
2013,October,10,4,60
2013,September,9,3,61
2014,April,4,2,62
2014,August,8,3,63
2014,December,12,4,64
2014,February,2,1,65
2014,January,1,1,66
2014,July,7,3,67
2014,June,6,2,68
2014,March,3,1,69
2014,May,5,2,70
2014,November,11,4,71
2014,October,10,4,72
2014,September,9,3,73
2015,April,4,2,74
2015,August,8,3,75
2015,December,12,4,76
2015,February,2,1,77
2015,January,1,1,78
2015,July,7,3,79
2015,June,6,2,80
2015,March,3,1,81
2015,May,5,2,82
2015,November,11,4,83
2015,October,10,4,84
2015,September,9,3,85
2016,April,4,2,86
2016,August,8,3,87
2016,December,12,4,88
2016,February,2,1,89
2016,January,1,1,90
2016,July,7,3,91
2016,June,6,2,92
2016,March,3,1,93
2016,May,5,2,94
2016,November,11,4,95
2016,October,10,4,96
2016,September,9,3,97
2017,April,4,2,98
2017,August,8,3,99
2017,December,12,4,100
2017,February,2,1,101
2017,January,1,1,102
2017,July,7,3,103
2017,June,6,2,104
2017,March,3,1,105
2017,May,5,2,106
2017,November,11,4,107
2017,October,10,4,108
2017,September,9,3,109
2018,April,4,2,110
2018,August,8,3,111
2018,December,12,4,112
2018,February,2,1,113
2018,January,1,1,114
2018,July,7,3,115
2018,June,6,2,116
2018,March,3,1,117
2018,May,5,2,118
2018,November,11,4,119
2018,October,10,4,120
2018,September,9,3,121
2019,April,4,2,122
2019,August,8,3,123
2019,December,12,4,124
2019,February,2,1,125
2019,January,1,1,126
2019,July,7,3,127
2019,June,6,2,128
2019,March,3,1,129
2019,May,5,2,130
2019,November,11,4,131
2019,October,10,4,132
2019,September,9,3,133
2020,April,4,2,134
2020,August,8,3,135
2020,December,12,4,136
2020,February,2,1,137
2020,January,1,1,138
2020,July,7,3,139
2020,June,6,2,140
2020,March,3,1,141
2020,May,5,2,142
2020,November,11,4,143
2020,October,10,4,144
2020,September,9,3,145
2021,April,4,2,146
2021,February,2,1,147
2021,January,1,1,148
2021,March,3,1,149
