Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Andhra Pradesh,85.54
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Assam,25.93
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Bihar,94.37
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Gujarat,67.52
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Haryana,27.03
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Himachal Pradesh,9
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Jammu & Kashmir,12.57
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Karnataka,69.21
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Kerala,43.78
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Madhya Pradesh,79.54
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Maharashtra,95.01
India,"Calendar Year (Jan - Dec), 2023","November, 2023",North East,12.63
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Odisha,33.62
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Punjab,36.39
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Rajasthan,66.7
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Tamil Nadu,80.84
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Uttar Pradesh (East),101.5
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Uttar Pradesh (West),63.52
India,"Calendar Year (Jan - Dec), 2023","November, 2023",West Bengal,57.64
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Kolkata,24.93
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Delhi,59.92
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Mumbai,37.67
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Andhra Pradesh,85.04
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Assam,25.93
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Bihar,93.89
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Gujarat,67.15
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Haryana,26.94
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Himachal Pradesh,9.01
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Jammu & Kashmir,12.63
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Karnataka,68.9
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Kerala,43.81
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Madhya Pradesh,79.25
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Maharashtra,94.98
India,"Calendar Year (Jan - Dec), 2023","October, 2023",North East,12.6
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Odisha,33.82
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Punjab,36.27
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Rajasthan,66.74
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Tamil Nadu,80.48
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Uttar Pradesh (East),101.16
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Uttar Pradesh (West),63.22
India,"Calendar Year (Jan - Dec), 2023","October, 2023",West Bengal,57.53
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Kolkata,24.86
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Delhi,59.61
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Mumbai,37.48
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Andhra Pradesh,84.8
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Assam,25.82
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Bihar,93.81
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Gujarat,67.4
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Haryana,26.85
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Himachal Pradesh,9.07
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Jammu & Kashmir,12.64
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Karnataka,68.79
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Kerala,43.98
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Madhya Pradesh,79.12
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Maharashtra,94.88
India,"Calendar Year (Jan - Dec), 2023","September, 2023",North East,12.6
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Odisha,33.66
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Punjab,36.37
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Rajasthan,66.45
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Tamil Nadu,80.45
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Uttar Pradesh (East),101.18
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Uttar Pradesh (West),63.18
India,"Calendar Year (Jan - Dec), 2023","September, 2023",West Bengal,57.36
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Kolkata,24.98
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Delhi,59.46
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Mumbai,37.33
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Andhra Pradesh,84.67
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Assam,25.77
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Bihar,93.43
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Gujarat,67.77
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Haryana,26.91
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Himachal Pradesh,9.06
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Jammu & Kashmir,12.6
